text,U,P,C,category,S,cooked_level,source
Sittin at the hospital with isaac cause he hit his head,,,,General,,2,tweet_emotions
We burned down the office.,5.0,5.0,5.0,Career,15.0,5,synthetic
Adding names to my Twitter account and learning how to use this amazing thing!,,,,General,,1,tweet_emotions
Kyles going out of town this weekend  play time wif my fwiends. Rawrrr.,,,,General,,4,tweet_emotions
My dad stole from the cartel.,5.0,5.0,5.0,Financial,15.0,5,synthetic
@zenithus at least you have a next year  into the big wide world for me!,,,,General,,0,tweet_emotions
"Right, fuck the whole Twitter silence experiment. The last four days have been murder with the inability to mouth off",,,,General,,4,tweet_emotions
I was arrested for embezzlement.,5.0,5.0,5.0,Financial,15.0,5,synthetic
id be happy thats its friday if i didnt have to work tomorrow  blah,,,,General,,4,tweet_emotions
Shower time,,,,General,,1,tweet_emotions
is fed up of stupid bots adding me,,,,General,,4,tweet_emotions
&quot; ...not academically of course. &quot; I miss him already,,,,General,,0,tweet_emotions
@Djalfy I sound really Brummie lol but most of all I just hate looking at myself!,,,,General,,4,tweet_emotions
Forced to eat red hotdogs coz I'm starving and there's nothing else for breakfast. Ick.,,,,General,,4,tweet_emotions
im so not feelinq this huqe ass pimple smack in the middle of my doom. it aint riqht man,,,,General,,4,tweet_emotions
@shangs112 Byebye,,,,General,,1,tweet_emotions
My friend am 50k in credit card debt.,5.0,4.0,5.0,Financial,14.0,4,synthetic
Just cleaned mii scrolly ball!,,,,General,,4,tweet_emotions
Long night ahead.,,,,General,,1,tweet_emotions
The VP is gone...so why am I getting a headache?    Time to have some coffee and fight it off. #migraine #ohnoyoudidnt,,,,General,,0,tweet_emotions
i hate the bus...any donations toward my car fund?,,,,General,,4,tweet_emotions
My team failed out of college.,5.0,4.0,5.0,Academic,14.0,4,synthetic
"@foodphilosophy seriously, technology isn't always my friend. Nothing like doing double research.",,,,General,,4,tweet_emotions
My dad ruined the company.,5.0,5.0,5.0,Career,15.0,5,synthetic
"@MerewichDaBitch I've been unlocked for decades now...just not lucky, never have been.  Gottta make my own luck and that involves $$$$$",,,,General,,2,tweet_emotions
@unitechy wud like to. But I actually have a free weekend this time and family is visiting. so I'm staying put. next time,,,,General,,3,tweet_emotions
We ruined the company.,5.0,5.0,5.0,Career,15.0,5,synthetic
@bhl1 I hope so! My sister lives there!,,,,General,,2,tweet_emotions
@beccaschlagen Oh no!  I hope you find your kitten,,,,General,,2,tweet_emotions
Anyone want to buy me this anthropomorphic planter called Domsai by Matteo Cibic? http://tinyurl.com/m6sru3 Only available till the 31st,,,,General,,1,tweet_emotions
My friend paid off my loans.,1.0,1.0,1.0,Financial,3.0,0,synthetic
@me_chiel Well...I would love to have a Zoo! ;P Dont think I can be there sunday.  But sometime I will !I want to!,,,,General,,0,tweet_emotions
learning all about non-payment from a client.  For a new business this is a headache I was hoping to avoid,,,,General,,2,tweet_emotions
My friend stole from the cartel.,5.0,5.0,5.0,Financial,15.0,5,synthetic
We finished all my work early.,1.0,1.0,1.0,Career,3.0,0,synthetic
@bioncaaa  so thats how u spent ur weekend so far?,,,,General,,1,tweet_emotions
"Just finished work nd now waiting in the freezing cold drinking a mango magic, haha FAIL T.T mama, wheree are yu ? I'm cold",,,,General,,0,tweet_emotions
"sandwichesss, then work",,,,General,,2,tweet_emotions
@DubarryMcfly really has anyone got through to the finals yet? yeah was it i was stuck in class for most of it  loveyoufletch xxxx,,,,General,,3,tweet_emotions
My team am 50k in credit card debt.,5.0,4.0,5.0,Financial,14.0,4,synthetic
"Just taking my dad in law for a Sunday stroll down Old Leigh  a beautiful morning, say Hi to Morris LOL  http://twitpic.com/4wt8k",,,,General,,0,tweet_emotions
I lost my passport in a foreign country.,5.0,4.0,5.0,General,14.0,4,synthetic
"@dtothealex really... I'm an alumnus, and I don't know myself! and we didn't have Macs yet when I was there...",,,,General,,3,tweet_emotions
@shaevvv,,,,General,,1,tweet_emotions
I have an exam in 5 minutes and haven't opened the book.,5.0,4.0,5.0,Academic,14.0,4,synthetic
Looks like my Twitter is down,,,,General,,3,tweet_emotions
Oh man. I have been sick all night. I feel awful.,,,,General,,2,tweet_emotions
fun day with boo. short but fun,,,,General,,0,tweet_emotions
@MsStella damn. You could have just called or told me in person. You didn't have to humiliate me in front of the whole twitterverse.,,,,General,,4,tweet_emotions
My friend got sued for 10 million dollars.,5.0,5.0,5.0,Financial,15.0,5,synthetic
Taking a nap after work=no sleep right now. The nap felt soooo good but now it seems like a bad idea,,,,General,,2,tweet_emotions
general cleaning! i hate cleaning,,,,General,,4,tweet_emotions
@ihuntmidgets I just wish @kimmikennedy would send a bruh a DM 'I won't be on til' so I don't waste my erection on a bot,,,,General,,3,tweet_emotions
My team robbed a bank.,5.0,5.0,5.0,Financial,15.0,5,synthetic
watching ALIAS from the beginning... approximately for the 117th time,,,,General,,1,tweet_emotions
@YasmineGalenorn used is definitely cheaper... may have to get later ones that way... but new is ok for now...,,,,General,,1,tweet_emotions
My friend am fleeing the country.,5.0,5.0,5.0,General,15.0,5,synthetic
My team paid off my loans.,1.0,1.0,1.0,Financial,3.0,0,synthetic
I really hate revision,,,,General,,4,tweet_emotions
"Season 2 of The Wire, done! Kinda weak compared to the first season but I expected that... Still good though  Season 3 here I come!",,,,General,,0,tweet_emotions
&quot;Mamma Who Bore Me&quot; hat es mir echt angetan.  90210 lï¿½sst grï¿½ï¿½en. ^^,,,,General,,1,tweet_emotions
is not paying ï¿½8 per hr for Internet access so may be limited to Twitter via txt,,,,General,,4,tweet_emotions
@inkrediblenyc hey Lonnie! I'll be there next weekend  I can't wait.,,,,General,,0,tweet_emotions
@akte does this mean you're leaving me?,,,,General,,1,tweet_emotions
ok... twitter I almost pass out because of you!! bastard    :'(,,,,General,,4,tweet_emotions
@Blauerpunto britta says she wants to have lunch with you too,,,,General,,1,tweet_emotions
@LadyRubaiyat It will warm up once you start digging,,,,General,,1,tweet_emotions
@MattCohenIII it could be worse  so u usually a nite owl?,,,,General,,0,tweet_emotions
"@ktml nice work buying coda dude! It's a great app! Unfortunately, I bought it when it was the full $99USD  #jealous",,,,General,,0,tweet_emotions
@cheynefritts You're a real hooker. I'm gonna slap you in public.,,,,General,,4,tweet_emotions
@hnprashanth,,,,General,,1,tweet_emotions
@djeebus i cant drink cause i dont have a dd to take of home,,,,General,,2,tweet_emotions
Awww I wonder when ima get married. Shawna and Damon are so cute,,,,General,,3,tweet_emotions
On a flight home  after an awesome trip with my cousin! Miss you sophia,,,,General,,0,tweet_emotions
i'm sick of waking up and feeling exhausted,,,,General,,4,tweet_emotions
We accidentally replied all with an insult.,5.0,4.0,5.0,Social,14.0,4,synthetic
My team lost my passport in a foreign country.,5.0,4.0,5.0,General,14.0,4,synthetic
happiest girl in the world.  best weekend ever and I can't wait for next weekend either!!!  so grateful for all my blessings!,,,,General,,0,tweet_emotions
@mannyishere awww hes too cute!!wish i could've gone,,,,General,,3,tweet_emotions
@theBrandiCyrus I don't think u look horrible and de my mmommy pits up embarrisong facebook picturesnof me,,,,General,,1,tweet_emotions
I crashed the company car into a building.,5.0,5.0,5.0,Career,15.0,5,synthetic
My friend pushed a bug that cost the company 50k.,5.0,4.0,5.0,Coding,14.0,4,synthetic
@Susan_Ferman that's so weak!!  facebook fail,,,,General,,3,tweet_emotions
@chunghow3 prolly E71... I can't think of anything else and I'm unfortunately not a Singtel customer,,,,General,,1,tweet_emotions
@LadyLucius Oh eww that is suck!,,,,General,,4,tweet_emotions
@glennbeck Missed your show tonight   Just HAD to go up to Lake Erie and enjoy the quiet!,,,,General,,3,tweet_emotions
@Helena210 No one to rub it in,,,,General,,1,tweet_emotions
@aeversman  CALL ME,,,,General,,1,tweet_emotions
My dad paid off my loans.,1.0,1.0,1.0,Financial,3.0,0,synthetic
@KnightOnline i think Today its not possible 2 play KOL,,,,General,,0,tweet_emotions
My dad committed treason.,5.0,5.0,5.0,General,15.0,5,synthetic
My dad murdered someone.,5.0,5.0,5.0,General,15.0,5,synthetic
My team committed treason.,5.0,5.0,5.0,General,15.0,5,synthetic
@azdog they already are in my books,,,,General,,0,tweet_emotions
@snookca looking forward to the reading this post as I like your 'no bullshit' writing and often learn a few things,,,,General,,4,tweet_emotions
"@stevecruzblog  It is so unfair, Hustlaball, US citizens working here, Personal Appearances Expectations, Prowler, can I do that there?",,,,General,,4,tweet_emotions
My team was arrested for embezzlement.,5.0,5.0,5.0,Financial,15.0,5,synthetic
I ruined the company.,5.0,5.0,5.0,Career,15.0,5,synthetic
the end is not as far as the start,,,,General,,0,tweet_emotions
"@PerezHilton hey perez! good luck! well, i'm still planning for a big present to be given for my mom! i love you mom!",,,,General,,3,tweet_emotions
140 pages and i'm done with eclipse!,,,,General,,0,tweet_emotions
Got some new clothes  and series one of supernatural on dvd,,,,General,,1,tweet_emotions
"Watched GossiP.Girl. Dan's so funny, haha.",,,,General,,0,tweet_emotions
Ready to kill myself  i hate history,,,,General,,4,tweet_emotions
in class sick and hungry,,,,General,,2,tweet_emotions
@donatoclassic me too,,,,General,,0,tweet_emotions
I'll miss the 39th floor view...,,,,General,,3,tweet_emotions
@rpulse I clicked on the Check out pictures of Angelina and it went to a spam site about ordering checks .. go figure,,,,General,,3,tweet_emotions
My friend got fired today.,5.0,4.0,5.0,Career,14.0,4,synthetic
"@chasingsunshine I'm sorry, but you wrote that on a blackberry which means you loose any respect i had for you",,,,General,,2,tweet_emotions
@ezrabutler ...I wonder if the Dog is thinking the same thing....   #fml,,,,General,,2,tweet_emotions
@MacQuid Soetimes I envy those who have spent their whole lives in one place and have deep roots... the grass on the other side syndrome!,,,,General,,2,tweet_emotions
I totaled my car without insurance.,5.0,4.0,5.0,Financial,14.0,4,synthetic
My friend leaked all user data to the dark web.,5.0,5.0,5.0,Coding,15.0,5,synthetic
@SQLDBA Sorry  I'll make sure to bomb in talk at SSUG next month as penance ;-),,,,General,,4,tweet_emotions
on wednesday green day will perform their new single &quot;Know Your Enemy&quot; at TvTotal,,,,General,,1,tweet_emotions
@cocotian of course i do.. such an adorable face.,,,,General,,0,tweet_emotions
HAPPY MOTHER'S DAY to ALL MOM'S HERE and to YOUR MOMS too,,,,General,,1,tweet_emotions
Adding Comments for my friends  want sum?,,,,General,,1,tweet_emotions
"@Jaxboxchick77 @lesleyadams @PMSharlequin You HAD 6 - 5 star reviews in Canada, at least until the &quot;Talk like a Canadian&quot; incident",,,,General,,1,tweet_emotions
@wdthem But can you breathe OK?,,,,General,,2,tweet_emotions
My dad am completely prepared.,1.0,1.0,1.0,Academic,3.0,0,synthetic
Glad I trudged through the first 60 pages of Anathem.  Now on pg340...it's been a long time since I wanted to call in sick just to read,,,,General,,1,tweet_emotions
@leprakhauns when you haven't had one in over a week! that was a really mean joke he just played on me!,,,,General,,4,tweet_emotions
"Well, it was very inspirative day. There's no room for design in todays schedule, so i'm heading to bed",,,,General,,0,tweet_emotions
@bigkelleh but i know i can't,,,,General,,3,tweet_emotions
I stole from the cartel.,5.0,5.0,5.0,Financial,15.0,5,synthetic
My friend crashed the company car into a building.,5.0,5.0,5.0,Career,15.0,5,synthetic
Thinking of what I should do in Vegas??? Any good ideas or places that are a most see!??,,,,General,,1,tweet_emotions
"mothers day, happy mothers day mom",,,,General,,2,tweet_emotions
Bit disappointed with The Killers On Jonathan Ross  He's sexy as hell though,,,,General,,4,tweet_emotions
the tummy monster hates me,,,,General,,2,tweet_emotions
My friend failed out of college.,5.0,4.0,5.0,Academic,14.0,4,synthetic
watching M eat a hotdog...gross.. he's so drunk and annoying.. trying really hard not to glre @ him,,,,General,,4,tweet_emotions
is feeling Fab today and missing my boo,,,,General,,3,tweet_emotions
It's gonna suck being the only sober one tonight,,,,General,,3,tweet_emotions
end of work... Thank God! I accomplished a number of things...  http://plurk.com/p/rpaag,,,,General,,0,tweet_emotions
@BrunnaXO don't be worried! I'm safe and sound!  &lt;3 you!,,,,General,,0,tweet_emotions
happy momies day  http://bit.ly/Skqli,,,,General,,1,tweet_emotions
My dad have an exam in 5 minutes and haven't opened the book.,5.0,4.0,5.0,Academic,14.0,4,synthetic
@JoeJonas1Fan1 heyy.  how are you?,,,,General,,1,tweet_emotions
"and I'm so naughty I cant even take my dog, I have to sit &amp; watch how proper dog owners do it, will Brunos life ever be the same?",,,,General,,3,tweet_emotions
its stormy,,,,General,,1,tweet_emotions
fuck you ipod for freezing when i need you most,,,,General,,4,tweet_emotions
My friend committed treason.,5.0,5.0,5.0,General,15.0,5,synthetic
Star Trek.. Did not disappoint!  5 star!!,,,,General,,0,tweet_emotions
"@ the Eldorado house, goodbye Aliante house. *Memories made, memories fade!",,,,General,,3,tweet_emotions
would wish the severe migrains would stop!!! doc's prescriptions arent working,,,,General,,4,tweet_emotions
@SQLChicken Yep! Tail between legs!,,,,General,,0,tweet_emotions
its raining hard :|,,,,General,,1,tweet_emotions
My team found 20 bucks.,1.0,1.0,1.0,Financial,3.0,0,synthetic
I got fired today.,5.0,4.0,5.0,Career,14.0,4,synthetic
Rest in peace Sheeba. You will be very missed. I'm off to go cry now.,,,,General,,2,tweet_emotions
My dad failed out of college.,5.0,4.0,5.0,Academic,14.0,4,synthetic
Calling it a night .... talk to yall tomorrow,,,,General,,2,tweet_emotions
My team leaked all user data to the dark web.,5.0,5.0,5.0,Coding,15.0,5,synthetic
Working!!! Still sick,,,,General,,3,tweet_emotions
I wanted to see the story on ACORN tonight on Glen Beck but I missed it,,,,General,,3,tweet_emotions
"so much for a day off- I've been on my feet, all over the place, all day!",,,,General,,3,tweet_emotions
@jerennyofficial Hahah JONAS in 10 min!! woop woop! it was fun me and Doug had a 2 cmmt convo. it was magical hahaha,,,,General,,0,tweet_emotions
My friend committed tax fraud.,5.0,5.0,5.0,Financial,15.0,5,synthetic
@monica058 Happy Anoop Day to you too Monica,,,,General,,2,tweet_emotions
back to my interesting emails...,,,,General,,1,tweet_emotions
"Going on 1,116 days still no new tattoo.",,,,General,,0,tweet_emotions
"@geerlingguy http://tinyurl.com/dlqo2p is a good one, nice",,,,General,,0,tweet_emotions
My friend accidentally replied all with an insult.,5.0,4.0,5.0,Social,14.0,4,synthetic
I WISH I LITERALLY COULD FUCK JUST ABOUT EVERY NIGGA IN THE WORLD...IMA NYMPH,,,,General,,4,tweet_emotions
I found 20 bucks.,1.0,1.0,1.0,Financial,3.0,0,synthetic
@FollowActive Oh so nooooowwww youre too busy for me...dam I see how it is! How long we known each other?!?!?,,,,General,,4,tweet_emotions
"@theclairemarie I can't, I'm studying so I don't fail  Come over, I'll make u some tortellini or chicken or a chicken salad.",,,,General,,3,tweet_emotions
My dad got sued for 10 million dollars.,5.0,5.0,5.0,Financial,15.0,5,synthetic
@jeffsgrippen yeah it's great!! always something interesting going on,,,,General,,0,tweet_emotions
I committed tax fraud.,5.0,5.0,5.0,Financial,15.0,5,synthetic
i have become my mothers slave.,,,,General,,4,tweet_emotions
@simonruggles I would much rather you didn't punch yourself in the face...it might hurt,,,,General,,2,tweet_emotions
Its Gloomy as Fuck outside Ewwwww,,,,General,,4,tweet_emotions
hates these khaki pants! project to do todayy,,,,General,,4,tweet_emotions
I aced the exam.,1.0,1.0,1.0,Academic,3.0,0,synthetic
@ppittman you are not old!!! You're  just comfy! Like worn in sweats! Said with all the love my sarcastic heart can muster....,,,,General,,0,tweet_emotions
Wish I could go hear Mint Condition tommorow night,,,,General,,1,tweet_emotions
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,,,,General,,1,tweet_emotions
@LILELLAY i am! lol its just i got used 2 talkin 2 ya..!,,,,General,,2,tweet_emotions
We found 20 bucks.,1.0,1.0,1.0,Financial,3.0,0,synthetic
@iamdiddy I NEED A HUG! IM MOVING HOUSE ALL BY MYSELF AND IM MAJORLY STRESSED,,,,General,,2,tweet_emotions
hopes whoever stole my purse and money gets what is coming to them,,,,General,,4,tweet_emotions
Walking to class. I hate not having a bike....especially mine.,,,,General,,4,tweet_emotions
my day is starting at 2:38pm. woops  work in less than 3 hours...,,,,General,,2,tweet_emotions
@MichaelMCrowley i saw wolverine too!,,,,General,,1,tweet_emotions
hates scaleeeee,,,,General,,4,tweet_emotions
We robbed a bank.,5.0,5.0,5.0,Financial,15.0,5,synthetic
"@buchmamsell ist im der Haus... or something like that.  Guten morgen, Frï¿½ulein!",,,,General,,1,tweet_emotions
"@andrewbravener Happy Birthday!  What's better than getting birthday greetings from strangers? Very little, that's what! (I kid!) &lt;3",,,,General,,0,tweet_emotions
@xxxqueenteexxx sigh..... exams aint no wer neaaarr finished!! i have 3 next week...  bin stressd... and i aint guna b bak till end june!,,,,General,,4,tweet_emotions
Woke up late &amp; trying to get sh*t done before work,,,,General,,3,tweet_emotions
My team got fired today.,5.0,4.0,5.0,Career,14.0,4,synthetic
Stu is actually SEVERLY sunburnt....it hurts!!!,,,,General,,2,tweet_emotions
@NikkiStixx @valentinamia omg you guys will know when I'm getting nasty!!  My head hurts,,,,General,,4,tweet_emotions
"Morning!! ... ^-^ escuchando el  Soundtrack de Twilight que Gaby me trajoooooo! la adoro  ...(muse, paramore, perry farrell...)",,,,General,,1,tweet_emotions
"Gah, I sprained my LEFT ankle... Just after I got over the torn ligament for my right foot. Looks like it's back to walking with a cane",,,,General,,4,tweet_emotions
"@Scandalous an iphone app came out a few months back called zemote, bumped my domain zemote.com out of the #1 spot",,,,General,,1,tweet_emotions
"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!",,,,General,,4,tweet_emotions
"@ElegySanft I don't say it, I KNOW it.  Because I'm just good like that",,,,General,,1,tweet_emotions
@dsml dont depress me  I have the mother-in-law staying the weekend. Someone else to wait on other than the kids!,,,,General,,3,tweet_emotions
ugly girls always insist on making ugly faces!  ugh!,,,,General,,1,tweet_emotions
We paid off my loans.,1.0,1.0,1.0,Financial,3.0,0,synthetic
My friend got a promotion.,1.0,1.0,1.0,Career,3.0,0,synthetic
family comes. probably won't be on this weekend,,,,General,,3,tweet_emotions
"@chloewolf Except for Josh, you like some LAME dudes.",,,,General,,4,tweet_emotions
@TheKellanLutz OMG i want to go too!  hahaha,,,,General,,0,tweet_emotions
Ugh.. Fricken Internet is down. Can do like 0 work without it. I want back in college just for the connection,,,,General,,4,tweet_emotions
@TDRFarmer Are you going to the game tonight? There is so much excitement today that I'm feeling left out. Have other plans,,,,General,,2,tweet_emotions
@thehypercube - touched a real live Cube in Hamilton. Dealership closed - couldn't sit in it though,,,,General,,4,tweet_emotions
Recovered now  Back to work!,,,,General,,1,tweet_emotions
"@doudoubebe There are 3 other Drs. in the office and only mine does this  It drives me nuts, especially when it is an appt. for my kids.",,,,General,,4,tweet_emotions
We got a promotion.,1.0,1.0,1.0,Career,3.0,0,synthetic
My dad had a great day.,1.0,1.0,1.0,Social,3.0,0,synthetic
@AngelIVXXX I tried to DM you but your not following me,,,,General,,2,tweet_emotions
My friend burned down the office.,5.0,5.0,5.0,Career,15.0,5,synthetic
I like @catep36 already  (new follower to join in midst of zombies mayhem),,,,General,,0,tweet_emotions
BREAKING NEWS: The broiler at Burger King is down. There will be no burgers at Burger King at lunch!  At least Chicken Fries were there!,,,,General,,3,tweet_emotions
I murdered someone.,5.0,5.0,5.0,General,15.0,5,synthetic
My friend got 10 years in prison.,5.0,5.0,5.0,General,15.0,5,synthetic
@1capplegate still sad about Samantha Who?,,,,General,,3,tweet_emotions
just finished baking some cinnamon rolls   soooo yummy!,,,,General,,0,tweet_emotions
forgot to renew my drivers license,,,,General,,2,tweet_emotions
@dorkybarb There are currently 0 penguins at the MN zoo...  but we can go sometime soon.,,,,General,,3,tweet_emotions
is going back home  love ya Zagrebe &lt;3,,,,General,,0,tweet_emotions
@SarahJAnderson Skinny dipping with work colleagues?!  Maybe not.  I'd never live it down with this lot!,,,,General,,1,tweet_emotions
About to make shit happen  *Pu+ !+ 0n M3*,,,,General,,2,tweet_emotions
Waiting,,,,General,,1,tweet_emotions
My team finished all my work early.,1.0,1.0,1.0,Career,3.0,0,synthetic
My friend found 20 bucks.,1.0,1.0,1.0,Financial,3.0,0,synthetic
